step,x,y,z,r
250,3.564306,0.000000,-7.861009,8.631323
251,3.577956,0.000000,-7.810495,8.591018
252,3.591586,0.000000,-7.759939,8.550798
253,3.605198,0.000000,-7.709342,8.510664
254,3.618789,0.000000,-7.658702,8.470617
255,3.632360,0.000000,-7.608018,8.430657
256,3.645909,0.000000,-7.557290,8.390786
257,3.659437,0.000000,-7.506517,8.351005
258,3.672943,0.000000,-7.455698,8.311314
259,3.686425,0.000000,-7.404833,8.271716
260,3.699884,0.000000,-7.353920,8.232210
261,3.713319,0.000000,-7.302960,8.192799
262,3.726729,0.000000,-7.251950,8.153483
263,3.740113,0.000000,-7.200890,8.114263
264,3.753471,0.000000,-7.149780,8.075140
265,3.766802,0.000000,-7.098618,8.036116
266,3.780105,0.000000,-7.047403,7.997192
267,3.793379,0.000000,-6.996135,7.958369
268,3.806624,0.000000,-6.944813,7.919648
269,3.819839,0.000000,-6.893436,7.881029
270,3.833022,0.000000,-6.842002,7.842516
271,3.846174,0.000000,-6.790512,7.804108
272,3.859292,0.000000,-6.738963,7.765807
273,3.872377,0.000000,-6.687355,7.727614
274,3.885427,0.000000,-6.635687,7.689531
275,3.898441,0.000000,-6.583958,7.651559
276,3.911419,0.000000,-6.532167,7.613698
277,3.924358,0.000000,-6.480312,7.575951
278,3.937259,0.000000,-6.428393,7.538319
279,3.950119,0.000000,-6.376409,7.500802
280,3.962938,0.000000,-6.324358,7.463403
281,3.975715,0.000000,-6.272240,7.426123
282,3.988448,0.000000,-6.220053,7.388963
283,4.001137,0.000000,-6.167795,7.351925
284,4.013779,0.000000,-6.115467,7.315009
285,4.026374,0.000000,-6.063067,7.278218
286,4.038919,0.000000,-6.010592,7.241553
287,4.051415,0.000000,-5.958043,7.205015
288,4.063859,0.000000,-5.905418,7.168606
289,4.076250,0.000000,-5.852716,7.132328
290,4.088586,0.000000,-5.799935,7.096181
291,4.100866,0.000000,-5.747075,7.060168
292,4.113088,0.000000,-5.694133,7.024289
293,4.125250,0.000000,-5.641109,6.988547
294,4.137351,0.000000,-5.588001,6.952944
295,4.149389,0.000000,-5.534807,6.917479
296,4.161362,0.000000,-5.481528,6.882156
297,4.173268,0.000000,-5.428160,6.846976
298,4.185106,0.000000,-5.374703,6.811941
299,4.196873,0.000000,-5.321155,6.777051
300,4.208567,0.000000,-5.267515,6.742310
301,4.220186,0.000000,-5.213781,6.707718
302,4.231728,0.000000,-5.159952,6.673277
303,4.243191,0.000000,-5.106027,6.638989
304,4.254573,0.000000,-5.052003,6.604856
305,4.265871,0.000000,-4.997880,6.570880
306,4.277082,0.000000,-4.943656,6.537061
307,4.288205,0.000000,-4.889329,6.503402
308,4.299237,0.000000,-4.834898,6.469905
309,4.310174,0.000000,-4.780362,6.436572
310,4.321015,0.000000,-4.725718,6.403404
311,4.331756,0.000000,-4.670966,6.370403
312,4.342395,0.000000,-4.616103,6.337571
313,4.352929,0.000000,-4.561129,6.304910
314,4.363355,0.000000,-4.506041,6.272421
315,4.373669,0.000000,-4.450838,6.240107
316,4.383869,0.000000,-4.395518,6.207970
317,4.393951,0.000000,-4.340081,6.176011
318,4.403912,0.000000,-4.284524,6.144232
319,4.413749,0.000000,-4.228845,6.112635
320,4.423457,0.000000,-4.173044,6.081223
321,4.433033,0.000000,-4.117119,6.049996
322,4.442474,0.000000,-4.061068,6.018957
323,4.451776,0.000000,-4.004889,5.988109
324,4.460934,0.000000,-3.948582,5.957452
325,4.469945,0.000000,-3.892144,5.926989
326,4.478805,0.000000,-3.835575,5.896722
327,4.487509,0.000000,-3.778872,5.866653
328,4.496054,0.000000,-3.722034,5.836783
329,4.504433,0.000000,-3.665061,5.807116
330,4.512644,0.000000,-3.607950,5.777652
331,4.520681,0.000000,-3.550700,5.748394
332,4.528540,0.000000,-3.493310,5.719344
333,4.536216,0.000000,-3.435779,5.690503
334,4.543703,0.000000,-3.378105,5.661875
335,4.550997,0.000000,-3.320287,5.633460
336,4.558092,0.000000,-3.262324,5.605261
337,4.564982,0.000000,-3.204215,5.577281
338,4.571664,0.000000,-3.145959,5.549520
339,4.578130,0.000000,-3.087555,5.521981
340,4.584375,0.000000,-3.029003,5.494666
341,4.590394,0.000000,-2.970300,5.467577
342,4.596180,0.000000,-2.911447,5.440716
343,4.601727,0.000000,-2.852442,5.414085
344,4.607029,0.000000,-2.793286,5.387686
345,4.612080,0.000000,-2.733977,5.361521
346,4.616872,0.000000,-2.674515,5.335592
347,4.621401,0.000000,-2.614900,5.309901
348,4.625658,0.000000,-2.555132,5.284450
349,4.629637,0.000000,-2.495210,5.259240
350,4.633331,0.000000,-2.435135,5.234275
351,4.636733,0.000000,-2.374906,5.209555
352,4.639835,0.000000,-2.314523,5.185083
353,4.642631,0.000000,-2.253988,5.160861
354,4.645113,0.000000,-2.193300,5.136890
355,4.647273,0.000000,-2.132461,5.113172
